Date,GRA Purchases,PRGT 1/2/,Totals,Year,World GDP (USD Billions current prices),WGDP USD ,SDR FX Rate ($1.00=1SDX),World Inflation,Real GDP in SDR,Totals Adjusted
08/31/2022,93769635059,15254184552,1.09E+11,2022,103867.109,1.04E+14,0.781323,1.068,7.60E+13,0.14
12/31/2021,89474552025,14554823681,1.04E+11,2021,96292.574,9.63E+13,0.714493,1.064,6.47E+13,0.16
12/31/2020,93408630285,12481816684,1.06E+11,2020,87536.338,8.75E+13,0.694315,1.028,5.91E+13,0.18
12/31/2019,66945509865,6590835450,73536345315,2019,86084.955,8.61E+13,0.723157,1.038,6.00E+13,0.12
12/31/2018,55395611392,6426181029,61821792421,2018,85238.623,8.52E+13,0.719015,1.036,5.92E+13,0.1
12/31/2017,39585385873,6522280669,46107666542,2017,80945.405,8.09E+13,0.702181,1.033,5.50E+13,0.08
12/31/2016,49267630851,6482647937,55750278788,2016,79321.72,7.93E+13,0.743864,1.03,5.73E+13,0.1
12/31/2015,50757840741,6575911158,57333751899,2015,77290.82,7.73E+13,0.721641,1.028,5.43E+13,0.11
12/31/2014,69041563463,6292755583,75334319046,2014,76267.375,7.63E+13,0.690224,1.029,5.12E+13,0.15
12/31/2013,83899249061,6174392682,90073641743,2013,75116.959,7.51E+13,0.649351,1.033,4.72E+13,0.19
12/31/2012,90042348252,5766292503,95808640755,2012,75042.63,7.50E+13,0.650652,1.04,4.69E+13,0.2
12/31/2011,87276915790,5308609594,92585525384,2011,73747.749,7.37E+13,0.651353,1.047,4.59E+13,0.2
12/31/2010,55620104510,4819344134,60439448644,2010,66435.818,6.64E+13,0.649336,1.043,4.14E+13,0.15
12/31/2009,37221142436,5079705286,42300847722,2009,64108.44,6.41E+13,0.637881,1.031,3.97E+13,0.11
12/31/2008,17514964723,3972372030,21487336753,2008,60731.151,6.07E+13,0.649237,1.047,3.77E+13,0.06
12/31/2007,6036146757,3796945581,9833092338,2007,58443.072,5.84E+13,0.632812,1.053,3.51E+13,0.03
12/31/2006,9822640239,3844020520,13666660759,2006,51762.962,5.18E+13,0.664716,1.039,3.31E+13,0.04
12/31/2005,28432143237,6282121668,34714264905,2005,47792.249,4.78E+13,0.69966,1.04,3.22E+13,0.11
12/31/2004,55373766674,6766029353,62139796027,2004,44116.922,4.41E+13,0.643912,1.041,2.73E+13,0.23
12/31/2003,65032062712,6880893268,71912955980,2003,39193.343,3.92E+13,0.672961,1.036,2.55E+13,0.28
12/31/2002,63601058794,6868671012,70469729806,2002,34900.086,3.49E+13,0.735552,1.041,2.47E+13,0.29
12/31/2001,53477225409,6424578684,59901804093,2001,34039.874,3.40E+13,0.795716,1.039,2.61E+13,0.23
12/31/2000,42990531049,6331595468,49322126517,2000,33788.307,3.38E+13,0.767514,1.048,2.47E+13,0.2
12/31/1999,51061861875,6434274362,57496136237,1999,32949.687,3.29E+13,0.728591,1.051,2.28E+13,0.25
12/31/1998,60451017051,6288825925,66739842976,1998,32068.872,3.21E+13,0.710846,1.072,2.13E+13,0.31
12/31/1997,46559033783,6009867422,52568901205,1997,31979.647,3.20E+13,0.741152,1.06,2.24E+13,0.24
12/31/1996,36127472805,5881609752,42009082557,1996,31824.477,3.18E+13,0.695432,1.079,2.05E+13,0.2
12/31/1995,35929173412,5657438528,41586611940,1995,31199.71,3.12E+13,0.672728,1.126,1.86E+13,0.22
12/31/1994,25611676952,4599768498,30211445450,1994,27985.29,2.80E+13,0.685003,1.255,1.53E+13,0.2
12/31/1993,25196745031,3942792899,29139537930,1993,26039.542,2.60E+13,0.728036,1.42,1.34E+13,0.22
12/31/1992,23967172718,3804463796,27771636514,1992,25328.261,2.53E+13,0.727271,1.418,1.30E+13,0.21
12/31/1991,23378573926,3285717796,26664291722,1991,24492.481,2.45E+13,0.699093,1.189,1.44E+13,0.19
12/31/1990,20731851093,2571911617,23303762710,1990,23654.018,2.37E+13,0.702908,1.251,1.33E+13,0.18
12/31/1989,22315104224,2334886562,24649990786,1989,20122.142,2.01E+13,0.760945,1.243,1.23E+13,0.2
12/31/1988,24750004884,1773964293,26523969177,1988,19125.335,1.91E+13,0.743107,1.23,1.16E+13,0.23
12/31/1987,28751979125,1866342930,30618322055,1987,17008.945,1.70E+13,0.704891,1.182,1.01E+13,0.3
12/31/1986,33334905644,2013169931,35348075575,1986,14771.979,1.48E+13,0.817533,1.097,1.10E+13,0.32
12/31/1985,35194787249,2470247948,37665035197,1985,12523.328,1.25E+13,0.910399,1.165,9.79E+12,0.38
12/31/1984,34936772393,2769874900,37706647293,1984,11997.41,1.20E+13,1.02019,1.04,1.18E+13,0.32
,,,,,,,,,,
,,,,,,,,,,
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,,,,,,,
,,,,,,,,,,
 2/ Formerly PRGF-ESF.,,,,,,,,,,