Ranking ,Fitted
1,786.5174257
2,779.290003
3,772.0625803
4,764.8351575
5,757.6077348
6,750.380312
7,743.1528893
8,735.9254665
9,728.6980438
10,721.4706211
11,714.2431983
12,707.0157756
13,699.7883528
14,692.5609301
15,685.3335074
16,678.1060846
17,670.8786619
18,663.6512391
19,656.4238164
20,649.1963936
21,641.9689709
22,634.7415482
23,627.5141254
24,620.2867027
25,613.0592799
26,605.8318572
27,598.6044344
28,591.3770117
29,584.149589
30,576.9221662
31,569.6947435
32,562.4673207
33,555.239898
34,548.0124752
35,540.7850525
36,533.5576298
37,526.330207
38,519.1027843
39,511.8753615
40,504.6479388
41,497.4205161
42,490.1930933
43,482.9656706
44,475.7382478
45,468.5108251
46,461.2834023
47,454.0559796
48,446.8285569
49,439.6011341
50,432.3737114
51,425.1462886
52,417.9188659
53,410.6914431
54,403.4640204
55,396.2365977
56,389.0091749
57,381.7817522
58,374.5543294
59,367.3269067
60,360.0994839
61,352.8720612
62,345.6446385
63,338.4172157
64,331.189793
65,323.9623702
66,316.7349475
67,309.5075248
68,302.280102
69,295.0526793
70,287.8252565
71,280.5978338
72,273.370411
73,266.1429883
74,258.9155656
75,251.6881428
76,244.4607201
77,237.2332973
78,230.0058746
79,222.7784518
80,215.5510291
81,208.3236064
82,201.0961836
83,193.8687609
84,186.6413381
85,179.4139154
86,172.1864926
87,164.9590699
88,157.7316472
89,150.5042244
90,143.2768017
91,136.0493789
92,128.8219562
93,121.5945335
94,114.3671107
95,107.139688
96,99.91226523
97,92.68484248
98,85.45741974
99,78.229997
100,71.00257426