Date,year,California,Arizona,Nevada
01/01/1979,1979,184087,14528,5866
01/01/1980,1980,210290,17673,7304
01/01/1981,1981,208485,16082,7575
01/01/1982,1982,201429,14785,7096
01/01/1983,1983,194491,14642,5838
01/01/1984,1984,195589,15756,5726
01/01/1985,1985,201763,19202,6244
01/01/1986,1986,248370,21835,6923
01/01/1987,1987,253943,20742,7006
01/01/1988,1988,261912,21147,8275
01/01/1989,1989,284136,21320,6947
01/01/1990,1990,311051,23911,7222
01/01/1991,1991,331122,25152,8693
01/01/1992,1992,345624,25706,9247
01/01/1993,1993,336381,28142,12157
01/01/1994,1994,318395,28653,14597
01/01/1995,1995,305154,30095,14461
01/01/1996,1996,274996,27963,13005
01/01/1997,1997,257582,28411,13395
01/01/1998,1998,229883,26984,11244
01/01/1999,1999,207879,26334,10311
01/01/2000,2000,210531,27281,10474
01/01/2001,2001,212867,28675,12359
01/01/2002,2002,208388,30171,13856
01/01/2003,2003,205551,28638,13813
01/01/2004,2004,189175,28952,14379
01/01/2005,2005,190178,30478,14654
01/01/2006,2006,194483,33456,18687
01/01/2007,2007,191561,32835,19365
01/01/2008,2008,185329,31567,18973
01/01/2009,2009,174934,28128,18639
01/01/2010,2010,164133,26528,17929
01/01/2011,2011,154943,26789,15452
01/01/2012,2012,160944,28077,16763
01/01/2013,2013,154739,27576,16888
01/01/2014,2014,153763,26422,18043
01/01/2015,2015,166883,27968,20118
01/01/2016,2016,174796,32542,19924
01/01/2017,2017,178597,35647,16663
01/01/2018,2018,176604,34053,16715
01/01/2019,2019,174341,32603,15334
01/01/2020,2020,174026,35980,14445